name,municipality,parish,category,lat,lon,notes
Bairro Padre Cruz,Lisboa,Carnide,bairro_municipal,38.7667,-9.1914,Largest Lisbon municipal estate; major rehousing project
Bairro da Horta Nova,Lisboa,Carnide,bairro_municipal,38.7584,-9.2010,
Bairro das Galinheiras,Lisboa,Santa Clara,bairro_municipal,38.7897,-9.1404,
Bairro do Armador,Lisboa,Marvila,bairro_municipal,38.7541,-9.1020,
Bairro do Condado,Lisboa,Marvila,bairro_municipal,38.7508,-9.1033,Includes Casal dos Machados
Bairro da Flamenga,Lisboa,Marvila,bairro_municipal,38.7460,-9.1086,
Bairro do Alfinete,Lisboa,Marvila,bairro_municipal,38.7543,-9.0971,
Bairro Alfredo Bensaúde,Lisboa,Olivais,bairro_municipal,38.7699,-9.1145,
Bairro da Quinta do Lavrado,Lisboa,Beato,bairro_municipal,38.7360,-9.1115,
Bairro Quinta do Cabrinha,Lisboa,Alcântara,bairro_municipal,38.7041,-9.1880,Riverfront social housing
Bairro 2 de Maio,Lisboa,Ajuda,bairro_municipal,38.7126,-9.2057,
Bairro do Alto da Ajuda,Lisboa,Ajuda,bairro_municipal,38.7132,-9.1948,
Bairro da Boavista,Lisboa,Ajuda,bairro_municipal,38.7055,-9.2165,
Bairro da Cruz Vermelha,Lisboa,Lumiar,bairro_municipal,38.7702,-9.1626,
Bairro da Ameixoeira (Alto da Ameixoeira),Lisboa,Santa Clara,bairro_municipal,38.7888,-9.1517,PER-Famílias realojamento
Bairro do Charquinho,Lisboa,Santa Clara,bairro_municipal,38.7950,-9.1486,
Bairro da Liberdade,Lisboa,Campolide,bairro_municipal,38.7340,-9.1763,
Quinta do Ourives,Lisboa,Benfica,bairro_municipal,38.7518,-9.2054,
Casal dos Machados,Lisboa,Marvila,bairro_municipal,38.7512,-9.1052,
